BGC0000026	-/aviH;-/aviG4;AAG32068.1, AAG32069.1/aviABC1, aviABC2
BGC0000027	-/mppD
BGC0000028	GU390405, ADC79613.1/BafX
BGC0000036	AAZ77673/chlB1;AAZ77679/chlB6
BGC0000070	ADI24954/gsfB;ADI24948/GsfI;ADI24953/gsfA;ADI24955/GsfC;ADI24956/GsfD;ADI24957/gsfE;ADI24958/GsfF
BGC0000101	CBF90090.1/mdpK;CBF90092.1/mdpJ;CBF90094.1/mdpI;CBF90095.1/mdpH;CBF90097.1/mdpG;CBF90099.1/mdpF;CBF90101.1/mdpE;CBF90103.1/mdpD;CBF90105.1/mdpC;CBF90107.1/mpdB;CBF90109.1/mdpA;CBF71451.1/xptA;AN1204/xptB
BGC0000154	Unknown/tropG
BGC0000161	ATEG_00145, EAU38791.1/terA;ATEG_00144, EAU38790.1/terB
BGC0000168	ADI24928/VrtC;ADI24929/VrtD;ADI24934/VrtH;ADI24937/VrtK
BGC0000176	YP001421800/dfnA;YP001421799/dfnY;YP001421798/dfnX;YP001421797/dfnB;YP001421796/dfnC;YP001421795/dfnD;YP001421794/dfnE;YP001421793/dfnF;YP001421792/dfnG;YP001421791/dfnH;YP001421790/dfnI;YP001421789/dfnJ;YP001421788/dfnK;YP001421787/dfnL;YP001421786/dfnM
BGC0000179	sce3184/etnM;sce3183/etnN;sce3182/etnO;sce3181/etnP;sce3180/etnQ;sce3179/etnR;sce3178/orf3
BGC0000181	YP001421027/mlnA;YP001421028/mlnB;YP001421029/mlnC;YP001421030/mlnD;YP001421031/mlnE;YP001421032/mlnF;YP001421033/mlnG;YP001421034/mlnH;YP001421035/mlnI
BGC0000189	CBJ83016/xclC;CBJ83012/xclF;CBJ83014/xclE;CBJ83015/xclD
BGC0000196	plu4194/antA
BGC0000198	WP_029025940.1/No gene ID;WP_029025943.1/No gene ID;WP_029025948.1/No gene ID;WP_029025950.1/No gene ID;WP_029025953.1/No gene ID;WP_029025955.1/No gene ID;WP_029025957.1/No gene ID;WP_029025962.1/No gene ID
BGC0000201	305861153/sa59;305861160/sa52;218511497/aur1PR4
BGC0000206	CAH10175.1/-
BGC0000239	-/LanI
BGC0000250	AAF01818.1/snoaM;AAF01813.1/snoaL;AAF01810.1/snoaW;AAF01808.1/snoaL2
BGC0000276	AAF00206.1/UrdM ;AAF00209.1/UrdGT2;AAF72551.1/UrdR ;AAF72549.1/UrdZ3;AAF72550.1/UrdQ;AAF00208.1/UrdZ1
BGC0000321	ctg1_orforf14/ctg1_orforf14
BGC0000333	SARE4565/cymD
BGC0000337	MAA_10043/DtxS1;MAA_10044/DtxS2;MAA_10045/DtxS3;MAA_10046/DtxS4;MAA_10031/EFY94488.1;MAA_10032/EFY94489.1;MAA_10033/EFY94490.1;MAA_10034/EFY94491.1;MAA_10035/EFY94492.1;MAA_10036/EFY94493.1;MAA_10037/EFY94494.1;MAA_10038/EFY94495.1;MAA_10039/EFY94496.1;MAA_10040/EFY94497.1;MAA_10041/EFY94498.1;MAA_10042/EFY94499.1;MAA_10043/EFY94500.1;MAA_10044/EFY94501.1;MAA_10045/EFY94502.1;MAA_10046/EFY94503.1;MAA_10047/EFY94504.1;MAA_10048/EFY94505.1;MAA_10049/EFY94506.1;MAA_10050/EFY94507.1;MAA_10051/EFY94508.1
BGC0000338	AFT91399.1/htyF;AFT91391.1/htyE;AFT91393.1/htyA;AFT91392.1/htyB;AFT91394.1/htyC;AFT91395.1/htyD
BGC0000361	AAW03299.1/gliT;AAW03300.1/gliF;AAW03301.1/gliN;AAW03302.1/gliA;AAW03303.1/gliK;AAW03304.1/gliG;AAW03305.1/gliM;AAW03306.1/gliC;AAW03307.1/gliP;AAW03308.1/gliJ;AAW03309.1/gliI;AAW03310.1/gliZ;AFUA_2G11120/gtmA
BGC0000370	AAB36607.1/TOXA;AAC62818.1/TOXC;CAA63129.1/TOXD;AAD13811.1/TOXE;AAD45321.1/TOXF;AAD47837.1/TOXG;AGR67369.1/TOXH
BGC0000384	AAT12283/ltxA;AAT12284/ltxB;AAT12285/ltxC;AAT12286/ltxD
BGC0000386	ABC39452.1/mbaC
BGC0000389	ABH06367/massA
BGC0000406	CAJ14038/orfM
BGC0000416	YP_003712464.1/rdpA;YP_003712465.1/rdpB;YP_003712466.1/rdpC
BGC0000419	 AIG79226.1/-; AIG79239.1/-; AIG79240.1/-; AIG79241.1/-; AIG79244.1/-
BGC0000433	YP001420000/aat1;YP001420001/ycxB
BGC0000443	AED90002/;AED90003/-;AED90004/-;AED90005/-;AED90006/-
BGC0000446	No protein ID/No gene ID
BGC0000459	AGN74862.1/sgvC
BGC0000462	AFJ23825.1/wlpB;AFJ23826.1/wlpC;AFJ23827.1/wlpD;AFJ23828.1/wlpE
BGC0000463	AGM14923.1/xtlF;AGM14924.1/xtlR;AGM14925.1/xtlA
BGC0000483	-/AgeE;-/AgeC
BGC0000516	ABO67412.1/No gene ID;ABO67413.1/geoTII;ABO67414.1/geoM;/geoAII;ABO67415.1/No gene ID;ABO67416.1/No gene ID;ABO67417.1/No gene ID
BGC0000518	-/No gene ID
BGC0000553	WP_032798330.1/No gene ID;WP_032798142.1/No gene ID;WP_032798143.1/No gene ID
BGC0000569	CBJ61630/pznF;CBJ61631/pznK;CBJ61632/pznG;CBJ61633/pznH;CBJ61634/pznI;CBJ61635/pznA;CBJ61636/pznJ;CBJ61637/pznC;CBJ61638/pznD;CBJ61639/pznB;CBJ61640/pznE;CBJ61641/pznL
BGC0000578	SSGG_03858/-;SSGG_03859/-;SSGG_03861/-;SSGG_03862/-
BGC0000579	SSEG_05172/-;SSEG_09672/-;SSEG_09764/-;SSEG_09675/-;SSEG_05178/-;SSEG_05179/-;SSEG_05180/-
BGC0000595	SCO_2438/-;SCO_2441/-;SCO_2444/-;SCO_2445/-;SCO_2446/-;SCO_2451/-
BGC0000596	SSPG_05081/-;SSPG_05087/-;SSPG_05088/-;SSPG_05090/-;SSPG_05093/-;SSPG_05096/-
BGC0000597	SSTG_01176/-;SSTG_01179/-;SSTG_01180/-;SSTG_01181/-;SSTG_01182/-
BGC0000598	AFS60636/ORF-1 (int)
BGC0000616	ABS75255/acnB;ABS75254/acnA;ABS75253/acnC;ABS75252/acnD;ABS75251/acnE;ABS75250/acnF
BGC0000631	Bcin12g06370.1/gene_Bcin12g06370;Bcin12g06380.1/gene_Bcin12g06380;Bcin12g06390.1/gene_Bcin12g06390;Bcin12g06400.1/gene_Bcin12g06400;Bcin12g06410.1/gene_Bcin12g06410;Bcin12g06420.1/gene_Bcin12g06420;Bcin12g06430.1/gene_Bcin12g06430
BGC0000657	CAD55534.1/SCO7700;CAC44557.1/SCO7701
