BGC0000272	no_publication
BGC0000281	no_publication
BGC0000318	no_publication
BGC0000358	no_publication
BGC0000359	no_publication
BGC0000367	no_publication
BGC0000395	no_publication
BGC0000410	no_publication
BGC0000415	no_publication
BGC0000450	no_publication
BGC0000452	no_publication
BGC0000692	no_publication
BGC0000694	no_publication
BGC0000695	no_publication
BGC0000696	no_publication
BGC0000697	no_publication
BGC0000699	no_publication
BGC0000700	no_publication
BGC0000705	no_publication
BGC0000708	no_publication
BGC0000709	no_publication
BGC0000710	no_publication
BGC0000712	no_publication
BGC0000717	no_publication
BGC0000721	no_publication
BGC0000725	no_publication
BGC0000726	no_publication
BGC0000727	no_publication
BGC0000750	no_publication
BGC0000760	no_publication
BGC0000763	no_publication
BGC0000770	no_publication
BGC0000771	no_publication
BGC0000775	no_publication
BGC0000785	no_publication
BGC0000787	no_publication
BGC0000790	no_publication
BGC0000793	no_publication
BGC0000828	no_publication
BGC0000830	no_publication
BGC0000831	no_publication
BGC0000846	no_publication
BGC0000851	no_publication
BGC0000855	no_publication
BGC0000856	no_publication
BGC0000858	no_publication
BGC0000859	no_publication
BGC0000860	no_publication
BGC0000863	no_publication
BGC0000864	no_publication
BGC0000881	no_publication
BGC0000889	no_publication
BGC0000899	no_publication
BGC0000900	no_publication
BGC0000901	no_publication
BGC0000917	no_publication
BGC0000929	no_publication
BGC0000957	no_publication
BGC0000990	no_publication
BGC0001005	no_publication
BGC0001013	no_publication
BGC0001109	no_publication
BGC0001117	no_publication
BGC0001124	no_publication
BGC0001144	no_publication
BGC0001148	no_publication
BGC0001183	no_publication
BGC0001186	no_publication
BGC0001220	no_publication
BGC0001227	no_publication
BGC0001232	no_publication;multi_loci
BGC0001233	no_publication
BGC0001234	no_publication;multi_loci
BGC0001236	no_publication
BGC0001237	no_publication
BGC0001284	no_publication
BGC0001306	no_publication
BGC0001319	no_publication;multi_loci
BGC0001332	no_publication
BGC0001380	no_publication
BGC0001382	no_publication
BGC0001434	no_publication
BGC0001444	no_publication
BGC0001447	no_publication
BGC0001451	no_publication
BGC0001453	no_publication
BGC0001454	no_publication
BGC0001455	no_publication
BGC0001456	no_publication
BGC0001457	no_publication
BGC0001458	no_publication
BGC0001464	no_publication
BGC0001465	no_publication
BGC0001472	no_publication
BGC0001475	no_publication
BGC0001488	no_publication
BGC0001499	no_publication
BGC0001500	no_publication
BGC0001505	no_publication
BGC0001529	no_publication
BGC0001536	no_publication
BGC0001547	no_publication
BGC0001572	no_publication
BGC0001576	no_publication
BGC0001577	no_publication
BGC0001582	no_publication
BGC0001592	no_publication
BGC0001601	no_publication
BGC0001602	no_publication
BGC0001610	no_publication
BGC0001624	no_publication
BGC0001648	no_publication
BGC0001671	no_publication
BGC0001672	no_publication
BGC0001689	no_publication
BGC0001707	no_publication
BGC0001709	no_publication
BGC0001732	no_publication
BGC0001734	no_publication
BGC0001743	no_publication
BGC0001798	no_publication
BGC0001806	no_publication
BGC0001821	no_publication
BGC0001828	no_publication
BGC0000015	multi_loci
BGC0000049	multi_loci
BGC0000095	multi_loci
BGC0000155	multi_loci
BGC0000183	multi_loci
BGC0000206	multi_loci;items=Antitumor
BGC0000250	multi_loci;gt_specificity=L-rhodosamine 
BGC0000276	multi_loci;gt_specificity=D-olivose ;gt_specificity=D-olivose ;items=Inhibition of protein SUMOylation
BGC0000322	multi_loci
BGC0000338	multi_loci;nonprot_adom_spec=4-Methylproline;chem_moiety=4R-methyl-L-proline;chem_moiety=L-homotyrosine
BGC0000370	multi_loci;chem_moiety=2-amino-9,10-epoxi-8-oxodecanoic acid;nonprot_adom_spec=Alanine;nonprot_adom_spec=D-alanine;nonprot_adom_spec=Proline
BGC0000456	multi_loci
BGC0000462	multi_loci;items=White line formation with tolaasin; hemolytic activity
BGC0000629	multi_loci
BGC0000680	multi_loci
BGC0000808	multi_loci;items=Protection against host immune system
BGC0000824	multi_loci;items=antiproliferative; anti-inflammatory; radical scavenging; UV protectant;chem_moiety=indole-phenolic scytonemin skeleton
BGC0000875	multi_loci
BGC0000927	multi_loci
BGC0000945	multi_loci
