bgc_id	indexes
BGC0000055	0,1,2,3
BGC0000094	0,1,2,3,4,5,6
BGC0000201	0,1
BGC0000230	0
BGC0000269	0,1,2,3,4,5
BGC0000280	0
BGC0000302	0
BGC0000319	0,1
BGC0000384	0
BGC0000405	0
BGC0000424	0,1,2,3
BGC0000443	0
BGC0000453	0
BGC0000462	0,1
BGC0000471	0
BGC0000477	0
BGC0000479	0
BGC0000513	1
BGC0000526	0,1
BGC0000529	0,1,2,3,4,5
BGC0000544	0,1,2
BGC0000551	0
BGC0000566	0
BGC0000569	0,1,2
BGC0000598	0,1,2
BGC0000616	0
BGC0000722	0
BGC0000758	0
BGC0000816	0,1,2,3,4,5,6,7
BGC0000819	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
BGC0000824	0
BGC0000834	0
BGC0000843	0
BGC0000845	0,1
BGC0000880	0
BGC0000921	0,1
BGC0000958	0,1
BGC0000972	0,1,2,3
BGC0000993	0
BGC0001017	0,1
BGC0001029	0
BGC0001045	0
BGC0001114	0
BGC0001160	0
BGC0001161	0
BGC0001164	0
BGC0001170	0
BGC0001171	0
BGC0001229	0
BGC0001468	0
BGC0001469	2
